frame_id,seg_mode,used_fallback,semantic_ratio,semantic_confidence,roi_ratio,depth_mean,backproject_points,plane_rmse,inlier_ratio,score_col,score_row,selected_matrix_order,horizontal_score,input_rotation_degrees,boundary_state,lock_allowed,reject_stage,reject_reason,total_ms
16,hybrid,False,0.6,1.0,0.55,5.884,5000,0.0213,0.9876,0.9929,0.4395,col,0.9929,270,preview,True,,,482.6
27,hybrid,False,0.6,1.0,0.55,6.383,5000,0.0217,0.994,0.99,0.4772,col,0.99,270,preview,True,,,304.5
36,hybrid,False,0.6,1.0,0.55,5.709,5000,0.0187,0.9912,0.9925,0.4837,col,0.9925,270,preview,True,,,270.2
47,hybrid,False,0.6,1.0,0.55,5.621,5000,0.0241,0.9882,0.9943,0.5009,col,0.9943,270,preview,True,,,284.1
57,hybrid,False,0.6,1.0,0.55,5.532,5000,0.0233,0.986,0.9952,0.4966,col,0.9952,270,preview,True,,,306.5
65,hybrid,False,0.6,1.0,0.55,5.666,5000,0.0225,0.9886,0.9961,0.4951,col,0.9961,270,preview,True,,,246.4
75,hybrid,False,0.6,1.0,0.55,5.447,5000,0.018,0.9972,0.996,0.3661,col,0.996,270,preview,True,,,255.6
83,hybrid,False,0.6,1.0,0.55,5.865,5000,0.0193,0.9924,0.9927,0.3636,col,0.9927,270,preview,True,,,227.8
94,hybrid,False,0.6,1.0,0.55,4.792,5000,0.0242,0.9934,0.9926,0.3316,col,0.9926,270,preview,True,,,240.5
105,hybrid,False,0.6,1.0,0.55,5.03,5000,0.0209,0.9932,0.9913,0.3231,col,0.9913,270,preview,True,,,254.1
115,hybrid,False,0.5999,1.0,0.55,6.297,5000,0.018,0.9902,0.9929,0.4596,col,0.9929,270,preview,True,,,277.1
124,hybrid,False,0.5466,1.0,0.5342,7.841,5000,0.0271,0.9558,0.9933,0.588,col,0.9933,270,preview,True,,,232.9
134,geometry,False,0.0,0.0,0,5.699,0,0,0,0,0,,0,270,scanning,False,seg,plane_not_horizontal_camera (0.28 < 0.35),0
144,hybrid,False,0.3239,0.582,0.3239,2.615,5000,0.027,0.6956,0.0297,0.273,col,0.0297,270,scanning,False,plane,not_horizontal score=0.030 (col=0.030 row=0.273),0
154,semantic_fallback,True,0.1281,0.559,0.1281,2.972,5000,0.0197,0.9194,0.034,0.3275,col,0.034,270,scanning,False,plane,not_horizontal score=0.034 (col=0.034 row=0.327),0
164,semantic_fallback,True,0.2255,0.716,0.2255,3.735,5000,0.021,0.6864,0.0632,0.3435,col,0.0632,270,scanning,False,plane,not_horizontal score=0.063 (col=0.063 row=0.343),0
174,semantic_fallback,True,0.2752,0.517,0.2752,4.793,5000,0,0,0,0,,0,270,scanning,False,plane,plane_fit_failed_unknown,0
